fornecedor_id;numero_fatura;data_fatura;valor_total;moeda
;FT 2026/010;2026-07-21;100,00;EUR
FORN-010;;2026-07-21;100,00;EUR
FORN-010;FT 2026/010;21/07/2026;100,00;EUR
FORN-010;FT 2026/010;2026-02-30;100,00;EUR
FORN-010;FT 2026/010;2026-07-21;1.234,56;EUR
FORN-010;FT 2026/010;2026-07-21;1234,5;EUR
FORN-010;FT 2026/010;2026-07-21;-10,00;EUR
FORN-010;FT 2026/010;2026-07-21;100,00;eur
FORN-010;FT 2026/010;2026-07-21;100,00;EURO
FORN-010;=2+2;2026-07-21;100,00;EUR
FORN-010;FT 2026/010;2026-07-21;100,00;EUR;COLUNA-EXTRA
FORN-010;FT 2026/010;2026-07-21;100,00
FORN-010;FT 2026/010;2026-07-21;10000000000000000,00;EUR
FORN-010;FT 2026/010;2026-07-21;100,00;USD
